DateTime,Value
01/01/2015 00:00:00,33.32
01/02/2015 00:00:00,26.18
01/03/2015 00:00:00,28.35
01/04/2015 00:00:00,29.4
01/05/2015 00:00:00,42.47
01/06/2015 00:00:00,39
01/07/2015 00:00:00,38.94
01/08/2015 00:00:00,40.85
01/09/2015 00:00:00,39.98
01/10/2015 00:00:00,39.29
01/11/2015 00:00:00,39.66
01/12/2015 00:00:00,52.53
01/13/2015 00:00:00,52.03
01/14/2015 00:00:00,51.81
01/15/2015 00:00:00,41.26
01/16/2015 00:00:00,40.5
01/17/2015 00:00:00,39.38
01/18/2015 00:00:00,32.46
01/19/2015 00:00:00,40.97
01/20/2015 00:00:00,40.93
01/21/2015 00:00:00,43.34
01/22/2015 00:00:00,44.77
01/23/2015 00:00:00,44.32
01/24/2015 00:00:00,37.53
01/25/2015 00:00:00,39.65
01/26/2015 00:00:00,43.73
01/27/2015 00:00:00,46.24
01/28/2015 00:00:00,41.57
01/29/2015 00:00:00,39.59
01/30/2015 00:00:00,39.3
01/31/2015 00:00:00,38.71
02/01/2015 00:00:00,29.71
02/02/2015 00:00:00,40.93
02/03/2015 00:00:00,42.53
02/04/2015 00:00:00,44.78
02/05/2015 00:00:00,42.87
02/06/2015 00:00:00,40.55
02/07/2015 00:00:00,31.95
02/08/2015 00:00:00,33.97
02/09/2015 00:00:00,43.07
02/10/2015 00:00:00,41.05
02/11/2015 00:00:00,40.52
02/12/2015 00:00:00,43.28
02/13/2015 00:00:00,47.63
02/14/2015 00:00:00,40.62
02/15/2015 00:00:00,39.09
02/16/2015 00:00:00,40.06
02/17/2015 00:00:00,41.62
02/18/2015 00:00:00,41.93
02/19/2015 00:00:00,39.48
02/20/2015 00:00:00,40.29
02/21/2015 00:00:00,38.14
02/22/2015 00:00:00,36.01
02/23/2015 00:00:00,30.77
02/24/2015 00:00:00,40.53
02/25/2015 00:00:00,42.53
02/26/2015 00:00:00,42.29
02/27/2015 00:00:00,40.1
02/28/2015 00:00:00,41.11
03/01/2015 00:00:00,29.66
03/02/2015 00:00:00,38.04
03/03/2015 00:00:00,35.52
03/04/2015 00:00:00,38.09
03/05/2015 00:00:00,37.57
03/06/2015 00:00:00,32.14
03/07/2015 00:00:00,24.44
03/08/2015 00:00:00,21.22
03/09/2015 00:00:00,35.42
03/10/2015 00:00:00,34.58
03/11/2015 00:00:00,33.48
03/12/2015 00:00:00,35.54
03/13/2015 00:00:00,33.15
03/14/2015 00:00:00,26.14
03/15/2015 00:00:00,25.26
03/16/2015 00:00:00,37.26
03/17/2015 00:00:00,34.22
03/18/2015 00:00:00,35.78
03/19/2015 00:00:00,31.93
03/20/2015 00:00:00,34.39
03/21/2015 00:00:00,28.42
03/22/2015 00:00:00,33.8
03/23/2015 00:00:00,32.37
03/24/2015 00:00:00,32.37
03/25/2015 00:00:00,33.67
03/26/2015 00:00:00,29.88
03/27/2015 00:00:00,34.21
03/28/2015 00:00:00,35.98
03/29/2015 00:00:00,25.66
03/30/2015 00:00:00,35.16
03/31/2015 00:00:00,33.17
04/01/2015 00:00:00,39.41
04/02/2015 00:00:00,36.54
04/03/2015 00:00:00,44.57
04/04/2015 00:00:00,25.77
04/05/2015 00:00:00,33.07
04/06/2015 00:00:00,35.06
04/07/2015 00:00:00,38.46
04/08/2015 00:00:00,37.87
04/09/2015 00:00:00,37.41
04/10/2015 00:00:00,51.92
04/11/2015 00:00:00,34.82
04/12/2015 00:00:00,23.33
04/13/2015 00:00:00,36.19
04/14/2015 00:00:00,36.82
04/15/2015 00:00:00,35.17
04/16/2015 00:00:00,34.45
04/17/2015 00:00:00,33.2
04/18/2015 00:00:00,24.91
04/19/2015 00:00:00,29.38
04/20/2015 00:00:00,34.41
04/21/2015 00:00:00,33.43
04/22/2015 00:00:00,33.98
04/23/2015 00:00:00,32.02
04/24/2015 00:00:00,34.92
04/25/2015 00:00:00,29.74
04/26/2015 00:00:00,24.43
04/27/2015 00:00:00,40.12
04/28/2015 00:00:00,43.39
04/29/2015 00:00:00,49.63
04/30/2015 00:00:00,56.89
05/01/2015 00:00:00,24.86
05/02/2015 00:00:00,29.71
05/03/2015 00:00:00,34.92
05/04/2015 00:00:00,37.38
05/05/2015 00:00:00,35.87
05/06/2015 00:00:00,36.43
05/07/2015 00:00:00,44.33
05/08/2015 00:00:00,36.67
05/09/2015 00:00:00,31.39
05/10/2015 00:00:00,29.29
05/11/2015 00:00:00,35.35
05/12/2015 00:00:00,35.35
05/13/2015 00:00:00,35.83
05/14/2015 00:00:00,39.05
05/15/2015 00:00:00,37.38
05/16/2015 00:00:00,37.39
05/17/2015 00:00:00,35.83
05/18/2015 00:00:00,40.41
05/19/2015 00:00:00,44.95
05/20/2015 00:00:00,43.81
05/21/2015 00:00:00,45.17
05/22/2015 00:00:00,50.28
05/23/2015 00:00:00,29.05
05/24/2015 00:00:00,36.31
05/25/2015 00:00:00,45.35
05/26/2015 00:00:00,49.29
05/27/2015 00:00:00,47.74
05/28/2015 00:00:00,49.87
05/29/2015 00:00:00,51.9
05/30/2015 00:00:00,21.41
05/31/2015 00:00:00,19.69
06/01/2015 00:00:00,51.1
06/02/2015 00:00:00,55.11
06/03/2015 00:00:00,42.13
06/04/2015 00:00:00,47.94
06/05/2015 00:00:00,48.09
06/06/2015 00:00:00,44
06/07/2015 00:00:00,41.55
06/08/2015 00:00:00,51.14
06/09/2015 00:00:00,48.52
06/10/2015 00:00:00,46.4
06/11/2015 00:00:00,44.12
06/12/2015 00:00:00,38.12
06/13/2015 00:00:00,41.82
06/14/2015 00:00:00,33.39
06/15/2015 00:00:00,33.93
06/16/2015 00:00:00,37.5
06/17/2015 00:00:00,43.26
06/18/2015 00:00:00,40.94
06/19/2015 00:00:00,45.84
06/20/2015 00:00:00,41.36
06/21/2015 00:00:00,37.33
06/22/2015 00:00:00,45.88
06/23/2015 00:00:00,45.25
06/24/2015 00:00:00,30.75
06/25/2015 00:00:00,44.38
06/26/2015 00:00:00,47.37
06/27/2015 00:00:00,36.34
06/28/2015 00:00:00,40.53
06/29/2015 00:00:00,48.03
06/30/2015 00:00:00,52.41
07/01/2015 00:00:00,47.16
07/02/2015 00:00:00,48.21
07/03/2015 00:00:00,48.65
07/04/2015 00:00:00,43.84
07/05/2015 00:00:00,42
07/06/2015 00:00:00,45.17
07/07/2015 00:00:00,45.99
07/08/2015 00:00:00,45.23
07/09/2015 00:00:00,39.59
07/10/2015 00:00:00,43.29
07/11/2015 00:00:00,32.35
07/12/2015 00:00:00,35.4
07/13/2015 00:00:00,49.01
07/14/2015 00:00:00,46.66
07/15/2015 00:00:00,49.63
07/16/2015 00:00:00,48.03
07/17/2015 00:00:00,40.99
07/18/2015 00:00:00,39.29
07/19/2015 00:00:00,37.1
07/20/2015 00:00:00,47.27
07/21/2015 00:00:00,41.51
07/22/2015 00:00:00,42.14
07/23/2015 00:00:00,53.79
07/24/2015 00:00:00,51.77
07/25/2015 00:00:00,49.92
07/26/2015 00:00:00,44.96
07/27/2015 00:00:00,46.43
07/28/2015 00:00:00,47.15
07/29/2015 00:00:00,49.45
07/30/2015 00:00:00,46.53
07/31/2015 00:00:00,43.47
08/01/2015 00:00:00,39.24
08/02/2015 00:00:00,40.89
08/03/2015 00:00:00,44.87
08/04/2015 00:00:00,45.69
08/05/2015 00:00:00,46.04
08/06/2015 00:00:00,47.49
08/07/2015 00:00:00,47.89
08/08/2015 00:00:00,45.3
08/09/2015 00:00:00,44.99
08/10/2015 00:00:00,51.58
08/11/2015 00:00:00,56.02
08/12/2015 00:00:00,60.71
08/13/2015 00:00:00,57.3
08/14/2015 00:00:00,52.22
08/15/2015 00:00:00,44.6
08/16/2015 00:00:00,44.37
08/17/2015 00:00:00,45.45
08/18/2015 00:00:00,44.18
08/19/2015 00:00:00,46.14
08/20/2015 00:00:00,49.74
08/21/2015 00:00:00,49.11
08/22/2015 00:00:00,42.68
08/23/2015 00:00:00,45.27
08/24/2015 00:00:00,51.7
08/25/2015 00:00:00,45.36
08/26/2015 00:00:00,45.11
08/27/2015 00:00:00,44.62
08/28/2015 00:00:00,43.42
08/29/2015 00:00:00,41.35
08/30/2015 00:00:00,44.67
08/31/2015 00:00:00,46.99
09/01/2015 00:00:00,44.12
09/02/2015 00:00:00,41.7
09/03/2015 00:00:00,43.44
09/04/2015 00:00:00,44.98
09/05/2015 00:00:00,37.82
09/06/2015 00:00:00,41.01
09/07/2015 00:00:00,42.25
09/08/2015 00:00:00,43.85
09/09/2015 00:00:00,44.77
09/10/2015 00:00:00,46.79
09/11/2015 00:00:00,44.93
09/12/2015 00:00:00,37.7
09/13/2015 00:00:00,38.44
09/14/2015 00:00:00,40.79
09/15/2015 00:00:00,42.25
09/16/2015 00:00:00,44.11
09/17/2015 00:00:00,51.03
09/18/2015 00:00:00,46.34
09/19/2015 00:00:00,42.21
09/20/2015 00:00:00,43.56
09/21/2015 00:00:00,49.13
