DateTime,Value
01/01/2022 00:00:00,85.16
01/01/2022 01:00:00,50.05
01/01/2022 02:00:00,41.33
01/01/2022 03:00:00,42.18
01/01/2022 04:00:00,44.37
01/01/2022 05:00:00,37.67
01/01/2022 06:00:00,39.7
01/01/2022 07:00:00,40.59
01/01/2022 08:00:00,43.26
01/01/2022 09:00:00,49.66
01/01/2022 10:00:00,70.05
01/01/2022 11:00:00,76.79
01/01/2022 12:00:00,84.1
01/01/2022 13:00:00,94.74
01/01/2022 14:00:00,96.8
01/01/2022 15:00:00,97.17
01/01/2022 16:00:00,101.27
01/01/2022 17:00:00,126.6
01/01/2022 18:00:00,149.97
01/01/2022 19:00:00,146.33
01/01/2022 20:00:00,140.28
01/01/2022 21:00:00,121.88
01/01/2022 22:00:00,102.61
01/01/2022 23:00:00,97.46
01/02/2022 00:00:00,32.93
01/02/2022 01:00:00,57.08
01/02/2022 02:00:00,55.09
01/02/2022 03:00:00,52.82
01/02/2022 04:00:00,34.94
01/02/2022 05:00:00,29.56
01/02/2022 06:00:00,53.01
01/02/2022 07:00:00,34.52
01/02/2022 08:00:00,41.8
01/02/2022 09:00:00,48.95
01/02/2022 10:00:00,60.01
01/02/2022 11:00:00,70.09
01/02/2022 12:00:00,66.26
01/02/2022 13:00:00,64.54
01/02/2022 14:00:00,46.96
01/02/2022 15:00:00,65.19
01/02/2022 16:00:00,81.09
01/02/2022 17:00:00,88.46
01/02/2022 18:00:00,95.4
01/02/2022 19:00:00,86.71
01/02/2022 20:00:00,71.72
01/02/2022 21:00:00,56.73
01/02/2022 22:00:00,46.16
01/02/2022 23:00:00,46.29
01/03/2022 00:00:00,95.26
01/03/2022 01:00:00,20.89
01/03/2022 02:00:00,19.92
01/03/2022 03:00:00,19.87
01/03/2022 04:00:00,19.82
01/03/2022 05:00:00,20.26
01/03/2022 06:00:00,29.35
01/03/2022 07:00:00,80
01/03/2022 08:00:00,106.87
01/03/2022 09:00:00,131.47
01/03/2022 10:00:00,135.53
01/03/2022 11:00:00,107.46
01/03/2022 12:00:00,110.08
01/03/2022 13:00:00,119.78
01/03/2022 14:00:00,117
01/03/2022 15:00:00,111.57
01/03/2022 16:00:00,111.39
01/03/2022 17:00:00,124.51
01/03/2022 18:00:00,148.49
01/03/2022 19:00:00,138
01/03/2022 20:00:00,117.64
01/03/2022 21:00:00,117.71
01/03/2022 22:00:00,95.95
01/03/2022 23:00:00,105.68
01/04/2022 00:00:00,84.11
01/04/2022 01:00:00,103.7
01/04/2022 02:00:00,104.14
01/04/2022 03:00:00,102.59
01/04/2022 04:00:00,100.49
01/04/2022 05:00:00,102.71
01/04/2022 06:00:00,93.97
01/04/2022 07:00:00,130.08
01/04/2022 08:00:00,182.64
01/04/2022 09:00:00,174.61
01/04/2022 10:00:00,185.44
01/04/2022 11:00:00,185.32
01/04/2022 12:00:00,178.04
01/04/2022 13:00:00,178.08
01/04/2022 14:00:00,175.28
01/04/2022 15:00:00,174.7
01/04/2022 16:00:00,180.93
01/04/2022 17:00:00,166.69
01/04/2022 18:00:00,185.32
01/04/2022 19:00:00,180.5
01/04/2022 20:00:00,153.88
01/04/2022 21:00:00,146.81
01/04/2022 22:00:00,128.75
01/04/2022 23:00:00,112.96
01/05/2022 00:00:00,97.29
01/05/2022 01:00:00,105.31
01/05/2022 02:00:00,97.29
01/05/2022 03:00:00,84.5
01/05/2022 04:00:00,75.38
01/05/2022 05:00:00,79.11
01/05/2022 06:00:00,94.79
01/05/2022 07:00:00,121.92
01/05/2022 08:00:00,139.9
01/05/2022 09:00:00,147.74
01/05/2022 10:00:00,141.47
01/05/2022 11:00:00,135.97
01/05/2022 12:00:00,129.99
01/05/2022 13:00:00,150.31
01/05/2022 14:00:00,134.71
01/05/2022 15:00:00,149.92
01/05/2022 16:00:00,160.01
01/05/2022 17:00:00,137.28
01/05/2022 18:00:00,148.09
01/05/2022 19:00:00,139.88
01/05/2022 20:00:00,135.75
01/05/2022 21:00:00,119.93
01/05/2022 22:00:00,98.09
01/05/2022 23:00:00,118.71
01/06/2022 00:00:00,124.7
01/06/2022 01:00:00,98.46
01/06/2022 02:00:00,92.92
01/06/2022 03:00:00,90.99
01/06/2022 04:00:00,88.94
01/06/2022 05:00:00,89.31
01/06/2022 06:00:00,89.75
01/06/2022 07:00:00,97.06
01/06/2022 08:00:00,110.87
01/06/2022 09:00:00,136.88
01/06/2022 10:00:00,205.87
01/06/2022 11:00:00,209.25
01/06/2022 12:00:00,224.71
01/06/2022 13:00:00,218.99
01/06/2022 14:00:00,202.71
01/06/2022 15:00:00,209.36
01/06/2022 16:00:00,225.23
01/06/2022 17:00:00,245.95
01/06/2022 18:00:00,274.11
01/06/2022 19:00:00,272.89
01/06/2022 20:00:00,239.59
01/06/2022 21:00:00,217.91
01/06/2022 22:00:00,203.31
01/06/2022 23:00:00,171.31
01/07/2022 00:00:00,144.76
01/07/2022 01:00:00,128.92
01/07/2022 02:00:00,116.65
01/07/2022 03:00:00,100.54
01/07/2022 04:00:00,99.47
01/07/2022 05:00:00,101.74
01/07/2022 06:00:00,114.99
01/07/2022 07:00:00,140.19
01/07/2022 08:00:00,170.53
01/07/2022 09:00:00,175.66
01/07/2022 10:00:00,161.85
01/07/2022 11:00:00,161.37
01/07/2022 12:00:00,166.06
01/07/2022 13:00:00,166.54
01/07/2022 14:00:00,166.04
01/07/2022 15:00:00,169.43
01/07/2022 16:00:00,189.7
